@RELATION SmoothSubspace

@ATTRIBUTE att1 NUMERIC
@ATTRIBUTE att2 NUMERIC
@ATTRIBUTE att3 NUMERIC
@ATTRIBUTE att4 NUMERIC
@ATTRIBUTE att5 NUMERIC
@ATTRIBUTE att6 NUMERIC
@ATTRIBUTE att7 NUMERIC
@ATTRIBUTE att8 NUMERIC
@ATTRIBUTE att9 NUMERIC
@ATTRIBUTE att10 NUMERIC
@ATTRIBUTE att11 NUMERIC
@ATTRIBUTE att12 NUMERIC
@ATTRIBUTE att13 NUMERIC
@ATTRIBUTE att14 NUMERIC
@ATTRIBUTE att15 NUMERIC
@ATTRIBUTE target {1.0, 2.0, 3.0}

@DATA
0.49,0.596,0.642,0.489,0.676,0.844,0.758,0.331,0.371,0.416,0.067,0.045,0.412,0.484,0.181,1.0
0.488,0.595,0.762,0.564,0.619,0.323,0.405,0.114,0.799,0.896,0.981,0.259,0.891,0.513,0.572,1.0
0.419,0.611,0.784,0.535,0.58,0.399,0.176,0.192,0.66,0.018,0.589,0.372,-0.179,0.677,0.036,1.0
0.616,0.668,0.796,0.426,0.587,0.521,0.849,0.152,0.197,0.319,0.697,0.528,0.723,0.62,0.243,1.0
0.501,0.6,0.749,0.394,0.576,0.749,0.785,0.601,0.215,0.638,0.455,0.055,0.649,0.081,0.68,1.0
0.543,0.58,0.699,0.469,0.613,0.474,0.143,0.544,0.569,-0.048,0.402,0.613,0.811,0.838,0.83,1.0
0.466,0.691,0.586,0.544,0.612,0.752,0.049,0.052,0.422,0.442,0.986,0.961,0.948,0.717,0.717,1.0
0.46,0.638,0.738,0.483,0.616,0.564,0.797,0.401,0.128,0.105,0.701,0.708,0.736,0.521,0.476,1.0
0.536,0.78,0.685,0.495,0.606,0.38,0.737,0.171,0.811,0.613,0.299,0.122,0.448,0.453,0.367,1.0
0.523,0.657,0.598,0.506,0.619,0.411,0.209,0.386,0.325,0.541,0.639,0.491,0.267,0.825,0.918,1.0
0.478,0.595,0.686,0.382,0.668,0.823,0.689,0.534,0.486,0.923,0.656,0.731,0.278,0.154,0.599,1.0
0.439,0.576,0.836,0.524,0.617,0.757,0.278,0.883,0.039,0.333,0.15,0.529,0.477,0.362,0.868,1.0
0.579,0.631,0.721,0.537,0.665,0.92,0.772,0.192,0.433,0.69,0.718,0.156,0.22,0.715,0.708,1.0
0.595,0.582,0.724,0.495,0.632,0.641,0.839,0.244,0.516,0.614,0.371,0.649,0.735,0.911,0.69,1.0
0.5,0.669,0.756,0.439,0.512,0.556,-0.001,0.347,0.826,0.399,0.133,0.139,0.321,0.881,0.713,1.0
0.428,0.489,0.708,0.574,0.636,0.109,0.579,0.745,0.649,0.526,0.208,0.772,0.607,0.13,0.857,1.0
0.404,0.659,0.746,0.589,0.526,0.785,0.152,0.648,0.712,0.607,0.858,1.014,0.752,0.446,0.205,1.0
0.42,0.567,0.765,0.433,0.554,0.465,0.147,0.59,0.726,-0.025,0.354,0.753,0.97,0.103,0.662,1.0
0.567,0.673,0.826,0.381,0.513,0.349,0.074,0.043,0.514,0.52,1.089,1.004,0.274,0.051,0.723,1.0
0.467,0.607,0.655,0.482,0.565,0.217,0.945,0.675,0.272,0.705,0.54,0.571,0.028,0.428,0.529,1.0
