@RELATION ECG200

@ATTRIBUTE att1 NUMERIC
@ATTRIBUTE att2 NUMERIC
@ATTRIBUTE att3 NUMERIC
@ATTRIBUTE att4 NUMERIC
@ATTRIBUTE att5 NUMERIC
@ATTRIBUTE att6 NUMERIC
@ATTRIBUTE att7 NUMERIC
@ATTRIBUTE att8 NUMERIC
@ATTRIBUTE att9 NUMERIC
@ATTRIBUTE att10 NUMERIC
@ATTRIBUTE att11 NUMERIC
@ATTRIBUTE att12 NUMERIC
@ATTRIBUTE att13 NUMERIC
@ATTRIBUTE att14 NUMERIC
@ATTRIBUTE att15 NUMERIC
@ATTRIBUTE att16 NUMERIC
@ATTRIBUTE att17 NUMERIC
@ATTRIBUTE att18 NUMERIC
@ATTRIBUTE att19 NUMERIC
@ATTRIBUTE att20 NUMERIC
@ATTRIBUTE att21 NUMERIC
@ATTRIBUTE att22 NUMERIC
@ATTRIBUTE att23 NUMERIC
@ATTRIBUTE att24 NUMERIC
@ATTRIBUTE att25 NUMERIC
@ATTRIBUTE att26 NUMERIC
@ATTRIBUTE att27 NUMERIC
@ATTRIBUTE att28 NUMERIC
@ATTRIBUTE att29 NUMERIC
@ATTRIBUTE att30 NUMERIC
@ATTRIBUTE att31 NUMERIC
@ATTRIBUTE att32 NUMERIC
@ATTRIBUTE att33 NUMERIC
@ATTRIBUTE att34 NUMERIC
@ATTRIBUTE att35 NUMERIC
@ATTRIBUTE att36 NUMERIC
@ATTRIBUTE att37 NUMERIC
@ATTRIBUTE att38 NUMERIC
@ATTRIBUTE att39 NUMERIC
@ATTRIBUTE att40 NUMERIC
@ATTRIBUTE att41 NUMERIC
@ATTRIBUTE att42 NUMERIC
@ATTRIBUTE att43 NUMERIC
@ATTRIBUTE att44 NUMERIC
@ATTRIBUTE att45 NUMERIC
@ATTRIBUTE att46 NUMERIC
@ATTRIBUTE att47 NUMERIC
@ATTRIBUTE att48 NUMERIC
@ATTRIBUTE att49 NUMERIC
@ATTRIBUTE att50 NUMERIC
@ATTRIBUTE att51 NUMERIC
@ATTRIBUTE att52 NUMERIC
@ATTRIBUTE att53 NUMERIC
@ATTRIBUTE att54 NUMERIC
@ATTRIBUTE att55 NUMERIC
@ATTRIBUTE att56 NUMERIC
@ATTRIBUTE att57 NUMERIC
@ATTRIBUTE att58 NUMERIC
@ATTRIBUTE att59 NUMERIC
@ATTRIBUTE att60 NUMERIC
@ATTRIBUTE att61 NUMERIC
@ATTRIBUTE att62 NUMERIC
@ATTRIBUTE att63 NUMERIC
@ATTRIBUTE att64 NUMERIC
@ATTRIBUTE att65 NUMERIC
@ATTRIBUTE att66 NUMERIC
@ATTRIBUTE att67 NUMERIC
@ATTRIBUTE att68 NUMERIC
@ATTRIBUTE att69 NUMERIC
@ATTRIBUTE att70 NUMERIC
@ATTRIBUTE att71 NUMERIC
@ATTRIBUTE att72 NUMERIC
@ATTRIBUTE att73 NUMERIC
@ATTRIBUTE att74 NUMERIC
@ATTRIBUTE att75 NUMERIC
@ATTRIBUTE att76 NUMERIC
@ATTRIBUTE att77 NUMERIC
@ATTRIBUTE att78 NUMERIC
@ATTRIBUTE att79 NUMERIC
@ATTRIBUTE att80 NUMERIC
@ATTRIBUTE att81 NUMERIC
@ATTRIBUTE att82 NUMERIC
@ATTRIBUTE att83 NUMERIC
@ATTRIBUTE att84 NUMERIC
@ATTRIBUTE att85 NUMERIC
@ATTRIBUTE att86 NUMERIC
@ATTRIBUTE att87 NUMERIC
@ATTRIBUTE att88 NUMERIC
@ATTRIBUTE att89 NUMERIC
@ATTRIBUTE att90 NUMERIC
@ATTRIBUTE att91 NUMERIC
@ATTRIBUTE att92 NUMERIC
@ATTRIBUTE att93 NUMERIC
@ATTRIBUTE att94 NUMERIC
@ATTRIBUTE att95 NUMERIC
@ATTRIBUTE att96 NUMERIC
@ATTRIBUTE target {-1.0, 1.0}

@DATA
0.345,0.565,0.734,1.663,2.039,1.744,1.54,1.516,0.986,0.359,-0.216,-0.653,-0.248,-0.05,-0.346,-0.49,-0.299,-0.319,-0.349,-0.521,-0.57,-0.892,-0.999,-1.128,-1.21,-0.996,-1.198,-1.25,-1.149,-1.168,-1.765,-1.708,-1.55,-1.641,-1.79,-1.698,-1.44,-1.812,-2.167,-1.688,-1.622,-1.42,-1.625,-0.857,-1.206,-0.99,-0.674,-0.952,-0.493,-0.242,0.044,0.159,0.091,0.192,0.124,0.493,0.682,0.48,0.551,0.74,0.641,0.64,0.786,0.719,0.65,0.609,0.717,0.658,0.787,0.501,0.609,0.609,0.652,0.543,0.669,0.496,0.718,0.753,0.688,0.761,0.73,0.85,0.922,0.837,0.877,1.072,0.884,0.651,0.64,0.552,0.401,0.681,0.653,0.756,0.72,0.431,-1.0
0.173,0.816,0.393,0.283,0.144,-0.242,0.205,-0.654,-1.595,-1.175,-0.989,-0.922,-0.687,-0.793,-1.655,-1.705,-0.944,-1.469,-1.811,-1.024,-1.797,-1.772,-1.015,-1.614,-1.037,-2.163,-2.105,0.005,-1.311,-0.705,-0.099,-0.471,0.419,0.241,0.629,0.877,0.47,1.357,0.875,1.518,1.335,0.442,0.782,1.141,1.515,0.856,0.779,0.727,1.231,1.044,0.502,0.954,0.442,1.175,0.851,-0.125,0.531,0.538,0.514,0.563,0.571,0.464,0.389,0.292,0.554,0.892,0.654,0.699,0.929,0.547,-0.238,0.017,-0.21,-0.464,-0.292,-0.923,0.003,0.055,-1.051,-0.664,-0.18,-0.502,-0.66,-0.504,-0.501,-0.739,-0.531,-0.378,0.18,1.009,2.437,2.757,1.718,0.019,-1.404,-0.187,1.0
0.223,0.109,0.343,0.738,1.615,1.906,1.764,1.635,1.213,0.413,-0.032,0.203,-0.263,-0.149,-0.092,-0.347,-0.329,-0.313,-0.387,-0.591,-0.991,-0.816,-0.881,-1.111,-1.02,-1.171,-1.426,-1.371,-1.142,-1.503,-1.738,-1.688,-1.657,-1.772,-1.932,-2.049,-2.01,-1.894,-1.823,-1.906,-1.711,-1.556,-1.359,-1.386,-0.949,-0.891,-0.308,-0.194,-0.166,0.057,0.142,-0.021,0.317,0.445,0.399,0.548,0.719,0.656,0.71,0.776,0.714,0.824,0.81,0.861,0.812,0.858,0.776,0.835,0.789,0.647,0.698,0.873,0.715,0.454,0.594,0.825,0.8,0.768,0.71,0.572,0.523,0.489,0.535,0.663,0.639,0.6,0.758,0.504,0.515,0.634,0.62,0.618,0.813,0.751,0.816,0.545,-1.0
1.242,2.098,1.754,1.584,1.883,1.396,0.463,0.488,0.758,0.763,0.725,0.539,0.793,0.721,0.379,-0.259,-0.049,-0.204,-0.233,-0.285,-0.217,-0.285,-0.336,-0.255,-0.356,-0.665,-0.788,-0.867,-1.156,-1.281,-1.526,-1.485,-1.478,-1.664,-1.767,-1.509,-1.531,-1.505,-1.899,-1.582,-1.738,-1.88,-1.786,-1.102,-1.166,-1.444,-0.726,-0.803,-0.41,-0.396,-0.621,-0.55,-0.077,0.131,0.231,0.265,0.407,0.465,0.433,0.475,0.457,0.355,0.43,0.419,0.319,0.275,0.238,0.341,0.332,0.234,0.227,0.208,0.281,0.17,0.323,0.265,0.246,0.221,0.247,0.302,0.054,0.178,0.136,0.168,0.269,0.169,0.468,0.718,1.106,2.099,2.101,1.479,1.665,1.25,0.922,0.721,-1.0
0.7,0.737,2.648,3.518,1.999,0.556,0.414,0.764,0.875,0.673,0.93,0.403,-0.269,-0.835,-0.729,-1.202,-0.886,-1.059,-1.21,-1.069,-1.282,-1.286,-1.15,-1.564,-1.359,-1.482,-1.778,-1.734,-1.908,-1.869,-1.663,-2.056,-1.932,-1.795,-1.695,-1.125,-0.993,-0.449,-0.185,0.175,1.135,0.683,1.047,1.1,1.028,1.268,0.897,1.019,0.693,0.739,0.716,0.506,0.663,0.491,0.491,0.629,0.523,0.518,0.417,0.457,0.522,0.359,0.329,0.425,0.311,0.435,0.259,0.175,0.24,0.148,0.106,0.346,0.517,0.579,0.65,0.779,0.58,0.468,0.282,0.121,-0.032,-0.112,0.086,-0.044,-0.072,-0.0,-0.127,-0.137,-0.368,-0.063,-0.119,-0.196,-0.143,-0.468,0.374,0.615,1.0
0.354,1.174,2.438,1.268,2.119,0.544,-1.573,-0.744,0.551,0.113,-0.426,0.368,-0.101,-0.943,-1.329,-1.381,-1.172,-1.043,-1.949,-1.326,-1.203,-1.856,-1.403,-1.597,-1.938,-1.685,-1.447,-1.911,-2.238,-1.978,-1.425,-1.675,-1.906,-1.443,-1.246,-1.108,-0.764,-0.526,-0.201,0.133,0.37,0.252,0.719,0.994,1.124,0.521,0.906,0.838,0.607,0.495,0.702,1.126,0.468,0.601,0.51,0.551,1.05,-0.02,1.159,0.849,0.17,0.724,0.637,0.817,0.5,0.654,0.428,0.716,0.697,0.375,0.492,0.556,0.612,1.037,0.934,1.031,1.315,0.589,0.482,0.58,0.459,0.619,0.123,0.348,0.393,0.224,0.377,0.286,0.086,0.173,0.442,0.621,0.054,0.215,0.36,0.353,1.0
1.139,2.064,2.432,2.245,2.735,2.439,1.784,0.744,0.233,-0.025,0.121,-0.176,-0.403,-0.031,-0.097,-0.055,-0.106,-0.154,-0.737,-0.925,-0.62,-0.749,-0.814,-0.827,-1.065,-0.539,-0.298,-0.939,-1.015,-0.65,-0.72,-1.282,-1.514,-1.446,-1.607,-1.824,-1.352,-1.655,-1.622,-1.387,-1.91,-1.827,-1.439,-1.416,-1.255,-1.409,-1.197,-0.906,-0.871,-0.787,-0.319,-0.127,-0.122,0.039,0.283,0.294,0.288,0.397,0.424,0.446,0.561,0.719,0.705,0.496,0.528,0.668,0.551,0.486,0.444,0.45,0.595,0.601,0.664,0.655,0.78,0.464,0.425,0.416,0.584,0.565,0.67,0.796,0.889,1.236,0.937,0.345,0.434,0.519,0.343,0.358,0.487,0.543,0.598,0.311,0.432,0.227,-1.0
0.645,1.023,1.999,2.385,2.81,2.434,1.689,1.024,0.325,-0.301,-0.113,-0.052,-0.225,-0.166,-0.096,-0.045,-0.35,-0.641,-0.545,-0.701,-0.759,-0.681,-0.944,-1.207,-1.169,-0.953,-1.36,-2.034,-1.896,-1.658,-1.992,-2.281,-2.465,-2.149,-1.685,-1.89,-1.853,-1.184,-1.081,-1.374,-0.975,-0.729,-0.339,0.326,0.288,0.025,0.237,0.4,0.312,0.476,0.463,0.404,0.609,0.568,0.516,0.554,0.612,0.437,0.375,0.407,0.385,0.558,0.42,0.496,0.592,0.56,0.955,0.781,0.621,0.755,0.856,0.678,0.603,0.613,0.537,0.545,0.698,0.59,0.542,0.454,0.41,0.341,0.172,0.094,0.424,0.36,0.398,0.518,0.087,0.051,-0.257,0.384,-0.053,-0.243,0.332,0.064,-1.0
0.108,1.265,2.586,2.103,1.477,-0.238,-1.77,-0.582,-0.039,-0.016,-0.242,-0.25,-0.308,-0.931,-0.973,-0.855,-1.327,-1.108,-1.366,-1.177,-1.413,-1.648,-1.172,-1.843,-1.713,-1.502,-1.969,-1.91,-1.925,-1.616,-2.147,-1.662,-1.997,-1.385,-1.226,-1.059,-0.508,-0.253,0.294,0.271,0.494,0.407,1.234,0.971,1.032,0.757,1.551,0.879,0.581,1.025,0.772,0.803,0.642,0.555,0.684,0.865,0.631,0.814,0.81,0.664,0.64,0.801,0.553,0.679,0.771,0.419,0.636,0.443,0.337,0.484,0.592,0.35,0.584,0.873,0.773,0.91,0.72,0.421,0.456,0.578,0.014,0.223,0.418,-0.184,0.316,0.211,-0.048,0.097,-0.131,0.106,-0.093,-0.019,-0.005,-0.031,0.41,0.208,1.0
1.62,2.875,2.558,2.199,0.541,0.74,1.103,1.924,1.718,1.648,0.152,-0.139,-0.449,-0.808,-0.809,-0.862,-0.925,-1.081,-1.146,-1.258,-1.444,-1.523,-1.47,-1.31,-1.606,-1.665,-1.798,-2.063,-2.293,-1.919,-2.241,-1.734,-1.956,-1.126,-1.026,-0.56,-0.538,-0.119,0.283,0.231,0.675,1.004,0.655,0.82,0.742,0.805,0.214,0.731,0.675,0.562,0.461,0.612,0.701,0.628,0.651,0.584,0.437,0.431,0.583,0.374,0.452,0.371,0.275,0.308,0.24,0.237,0.285,0.134,0.128,0.103,0.219,0.03,0.026,0.341,0.34,0.374,0.586,0.64,0.25,0.34,0.106,-0.015,-0.076,-0.059,-0.04,0.069,-0.154,-0.055,-0.002,0.137,-0.073,-0.147,-0.167,-0.244,0.041,0.183,1.0
