@RELATION ItalyPowerDemand

@ATTRIBUTE att1_err NUMERIC
@ATTRIBUTE att2_err NUMERIC
@ATTRIBUTE att3_err NUMERIC
@ATTRIBUTE att4_err NUMERIC
@ATTRIBUTE att5_err NUMERIC
@ATTRIBUTE att6_err NUMERIC
@ATTRIBUTE att7_err NUMERIC
@ATTRIBUTE att8_err NUMERIC
@ATTRIBUTE att9_err NUMERIC
@ATTRIBUTE att10_err NUMERIC
@ATTRIBUTE att11_err NUMERIC
@ATTRIBUTE att12_err NUMERIC
@ATTRIBUTE att13_err NUMERIC
@ATTRIBUTE att14_err NUMERIC
@ATTRIBUTE att15_err NUMERIC
@ATTRIBUTE att16_err NUMERIC
@ATTRIBUTE att17_err NUMERIC
@ATTRIBUTE att18_err NUMERIC
@ATTRIBUTE att19_err NUMERIC
@ATTRIBUTE att20_err NUMERIC
@ATTRIBUTE att21_err NUMERIC
@ATTRIBUTE att22_err NUMERIC
@ATTRIBUTE att23_err NUMERIC
@ATTRIBUTE att24_err NUMERIC

@DATA
0.212,0.151,0.165,0.089,0.057,0.001,0.122,0.029,0.032,0.064,0.098,0.011,0.085,0.139,0.14,0.19,0.059,0.089,0.113,0.096,0.189,0.396,0.155,0.284
0.017,0.176,0.036,0.029,0.04,0.114,0.08,0.162,0.107,0.062,0.224,0.227,0.094,0.03,0.031,0.033,0.354,0.221,0.187,0.177,0.113,0.41,0.465,0.142
0.199,0.049,0.208,0.309,0.095,0.026,0.172,0.34,0.361,0.169,0.353,0.002,0.08,0.066,0.062,0.441,0.178,0.059,0.564,0.02,0.341,0.089,0.17,0.076
0.041,0.267,0.254,0.033,0.123,0.005,0.037,0.278,0.596,0.005,0.028,0.08,0.2,0.055,0.014,0.053,0.146,0.266,0.076,0.483,0.401,0.341,0.223,0.265
0.099,0.058,0.02,0.077,0.035,0.091,0.017,0.303,0.173,0.023,0.215,0.195,0.001,0.161,0.201,0.248,0.119,0.225,0.061,0.0,0.031,0.058,0.092,0.198
0.2,0.042,0.162,0.068,0.001,0.119,0.053,0.102,0.267,0.045,0.282,0.198,0.061,0.029,0.121,0.302,0.113,0.464,0.015,0.434,0.575,0.313,0.373,0.351
0.167,0.258,0.084,0.095,0.138,0.123,0.053,0.313,0.04,0.279,0.015,0.087,0.141,0.041,0.103,0.196,0.35,0.136,0.277,0.165,0.592,0.235,0.215,0.19
0.13,0.001,0.103,0.092,0.237,0.025,0.018,0.221,0.024,0.171,0.073,0.343,0.138,0.076,0.178,0.267,0.083,0.22,0.092,0.056,0.134,0.014,0.131,0.201
0.229,0.121,0.071,0.059,0.009,0.08,0.157,0.353,0.325,0.007,0.046,0.096,0.018,0.062,0.157,0.081,0.155,0.042,0.065,0.396,0.17,0.097,0.374,0.147
0.349,0.54,0.003,0.195,0.213,0.01,0.121,0.026,0.051,0.284,0.395,0.034,0.048,0.108,0.023,0.107,0.017,0.228,0.234,0.14,0.049,0.58,0.126,0.614
0.104,0.365,0.003,0.181,0.087,0.074,0.084,0.17,0.362,0.193,0.211,0.127,0.076,0.066,0.214,0.295,0.303,0.092,0.0,0.072,0.222,0.242,0.033,0.213
