@RELATION UMD

@ATTRIBUTE att1_err NUMERIC
@ATTRIBUTE att2_err NUMERIC
@ATTRIBUTE att3_err NUMERIC
@ATTRIBUTE att4_err NUMERIC
@ATTRIBUTE att5_err NUMERIC
@ATTRIBUTE att6_err NUMERIC
@ATTRIBUTE att7_err NUMERIC
@ATTRIBUTE att8_err NUMERIC
@ATTRIBUTE att9_err NUMERIC
@ATTRIBUTE att10_err NUMERIC
@ATTRIBUTE att11_err NUMERIC
@ATTRIBUTE att12_err NUMERIC
@ATTRIBUTE att13_err NUMERIC
@ATTRIBUTE att14_err NUMERIC
@ATTRIBUTE att15_err NUMERIC
@ATTRIBUTE att16_err NUMERIC
@ATTRIBUTE att17_err NUMERIC
@ATTRIBUTE att18_err NUMERIC
@ATTRIBUTE att19_err NUMERIC
@ATTRIBUTE att20_err NUMERIC
@ATTRIBUTE att21_err NUMERIC
@ATTRIBUTE att22_err NUMERIC
@ATTRIBUTE att23_err NUMERIC
@ATTRIBUTE att24_err NUMERIC
@ATTRIBUTE att25_err NUMERIC
@ATTRIBUTE att26_err NUMERIC
@ATTRIBUTE att27_err NUMERIC
@ATTRIBUTE att28_err NUMERIC
@ATTRIBUTE att29_err NUMERIC
@ATTRIBUTE att30_err NUMERIC
@ATTRIBUTE att31_err NUMERIC
@ATTRIBUTE att32_err NUMERIC
@ATTRIBUTE att33_err NUMERIC
@ATTRIBUTE att34_err NUMERIC
@ATTRIBUTE att35_err NUMERIC
@ATTRIBUTE att36_err NUMERIC
@ATTRIBUTE att37_err NUMERIC
@ATTRIBUTE att38_err NUMERIC
@ATTRIBUTE att39_err NUMERIC
@ATTRIBUTE att40_err NUMERIC
@ATTRIBUTE att41_err NUMERIC
@ATTRIBUTE att42_err NUMERIC
@ATTRIBUTE att43_err NUMERIC
@ATTRIBUTE att44_err NUMERIC
@ATTRIBUTE att45_err NUMERIC
@ATTRIBUTE att46_err NUMERIC
@ATTRIBUTE att47_err NUMERIC
@ATTRIBUTE att48_err NUMERIC
@ATTRIBUTE att49_err NUMERIC
@ATTRIBUTE att50_err NUMERIC
@ATTRIBUTE att51_err NUMERIC
@ATTRIBUTE att52_err NUMERIC
@ATTRIBUTE att53_err NUMERIC
@ATTRIBUTE att54_err NUMERIC
@ATTRIBUTE att55_err NUMERIC
@ATTRIBUTE att56_err NUMERIC
@ATTRIBUTE att57_err NUMERIC
@ATTRIBUTE att58_err NUMERIC
@ATTRIBUTE att59_err NUMERIC
@ATTRIBUTE att60_err NUMERIC
@ATTRIBUTE att61_err NUMERIC
@ATTRIBUTE att62_err NUMERIC
@ATTRIBUTE att63_err NUMERIC
@ATTRIBUTE att64_err NUMERIC
@ATTRIBUTE att65_err NUMERIC
@ATTRIBUTE att66_err NUMERIC
@ATTRIBUTE att67_err NUMERIC
@ATTRIBUTE att68_err NUMERIC
@ATTRIBUTE att69_err NUMERIC
@ATTRIBUTE att70_err NUMERIC
@ATTRIBUTE att71_err NUMERIC
@ATTRIBUTE att72_err NUMERIC
@ATTRIBUTE att73_err NUMERIC
@ATTRIBUTE att74_err NUMERIC
@ATTRIBUTE att75_err NUMERIC
@ATTRIBUTE att76_err NUMERIC
@ATTRIBUTE att77_err NUMERIC
@ATTRIBUTE att78_err NUMERIC
@ATTRIBUTE att79_err NUMERIC
@ATTRIBUTE att80_err NUMERIC
@ATTRIBUTE att81_err NUMERIC
@ATTRIBUTE att82_err NUMERIC
@ATTRIBUTE att83_err NUMERIC
@ATTRIBUTE att84_err NUMERIC
@ATTRIBUTE att85_err NUMERIC
@ATTRIBUTE att86_err NUMERIC
@ATTRIBUTE att87_err NUMERIC
@ATTRIBUTE att88_err NUMERIC
@ATTRIBUTE att89_err NUMERIC
@ATTRIBUTE att90_err NUMERIC
@ATTRIBUTE att91_err NUMERIC
@ATTRIBUTE att92_err NUMERIC
@ATTRIBUTE att93_err NUMERIC
@ATTRIBUTE att94_err NUMERIC
@ATTRIBUTE att95_err NUMERIC
@ATTRIBUTE att96_err NUMERIC
@ATTRIBUTE att97_err NUMERIC
@ATTRIBUTE att98_err NUMERIC
@ATTRIBUTE att99_err NUMERIC
@ATTRIBUTE att100_err NUMERIC
@ATTRIBUTE att101_err NUMERIC
@ATTRIBUTE att102_err NUMERIC
@ATTRIBUTE att103_err NUMERIC
@ATTRIBUTE att104_err NUMERIC
@ATTRIBUTE att105_err NUMERIC
@ATTRIBUTE att106_err NUMERIC
@ATTRIBUTE att107_err NUMERIC
@ATTRIBUTE att108_err NUMERIC
@ATTRIBUTE att109_err NUMERIC
@ATTRIBUTE att110_err NUMERIC
@ATTRIBUTE att111_err NUMERIC
@ATTRIBUTE att112_err NUMERIC
@ATTRIBUTE att113_err NUMERIC
@ATTRIBUTE att114_err NUMERIC
@ATTRIBUTE att115_err NUMERIC
@ATTRIBUTE att116_err NUMERIC
@ATTRIBUTE att117_err NUMERIC
@ATTRIBUTE att118_err NUMERIC
@ATTRIBUTE att119_err NUMERIC
@ATTRIBUTE att120_err NUMERIC
@ATTRIBUTE att121_err NUMERIC
@ATTRIBUTE att122_err NUMERIC
@ATTRIBUTE att123_err NUMERIC
@ATTRIBUTE att124_err NUMERIC
@ATTRIBUTE att125_err NUMERIC
@ATTRIBUTE att126_err NUMERIC
@ATTRIBUTE att127_err NUMERIC
@ATTRIBUTE att128_err NUMERIC
@ATTRIBUTE att129_err NUMERIC
@ATTRIBUTE att130_err NUMERIC
@ATTRIBUTE att131_err NUMERIC
@ATTRIBUTE att132_err NUMERIC
@ATTRIBUTE att133_err NUMERIC
@ATTRIBUTE att134_err NUMERIC
@ATTRIBUTE att135_err NUMERIC
@ATTRIBUTE att136_err NUMERIC
@ATTRIBUTE att137_err NUMERIC
@ATTRIBUTE att138_err NUMERIC
@ATTRIBUTE att139_err NUMERIC
@ATTRIBUTE att140_err NUMERIC
@ATTRIBUTE att141_err NUMERIC
@ATTRIBUTE att142_err NUMERIC
@ATTRIBUTE att143_err NUMERIC
@ATTRIBUTE att144_err NUMERIC
@ATTRIBUTE att145_err NUMERIC
@ATTRIBUTE att146_err NUMERIC
@ATTRIBUTE att147_err NUMERIC
@ATTRIBUTE att148_err NUMERIC
@ATTRIBUTE att149_err NUMERIC
@ATTRIBUTE att150_err NUMERIC

@DATA
0.015,0.003,0.0,0.014,0.004,0.011,0.007,0.01,0.005,0.005,0.005,0.01,0.006,0.03,0.002,0.007,0.031,0.129,0.411,0.151,0.397,0.548,0.04,0.079,0.27,0.403,0.278,0.004,0.019,0.012,0.022,0.094,0.031,0.005,0.002,0.012,0.001,0.013,0.0,0.01,0.007,0.048,0.035,0.073,0.098,0.073,0.235,0.002,0.061,0.15,1.069,0.516,0.292,0.446,0.399,0.477,1.227,0.718,0.841,0.556,0.746,0.767,0.665,0.225,1.192,0.415,0.159,2.08,0.406,0.992,1.742,0.738,1.52,0.297,0.55,0.463,0.887,1.206,0.707,0.147,0.691,1.12,0.573,0.102,0.944,0.646,0.814,1.21,1.121,0.317,0.34,0.949,1.281,0.15,0.749,0.147,0.576,0.504,0.779,0.221,1.3,1.02,1.232,0.847,0.674,0.659,0.242,0.53,0.298,0.291,0.007,0.142,0.368,0.159,0.041,0.156,0.188,0.009,0.245,0.075,0.091,0.517,0.032,0.237,0.746,0.074,0.309,0.187,0.209,0.173,0.027,0.05,0.007,0.051,0.02,0.017,0.008,0.007,0.023,0.013,0.011,0.002,0.008,0.014,0.028,0.0,0.002,0.003,0.004,0.0
0.02,0.006,0.007,0.004,0.005,0.002,0.01,0.01,0.003,0.015,0.001,0.022,0.001,0.001,0.011,0.011,0.006,0.022,0.497,0.44,0.275,0.586,0.83,0.201,0.179,0.036,0.486,0.074,0.039,0.042,0.15,0.02,0.022,0.029,0.008,0.008,0.008,0.003,0.003,0.011,0.002,0.062,0.002,0.055,0.079,0.321,0.037,0.109,0.271,0.989,0.637,0.361,0.273,0.233,1.531,0.341,0.481,0.851,1.875,0.092,0.552,0.107,1.673,0.196,2.174,0.273,1.702,0.675,0.844,0.59,2.302,0.903,1.292,1.149,1.192,0.941,0.58,0.289,0.518,0.113,0.088,0.796,0.822,0.113,1.009,1.271,0.148,0.99,1.181,0.853,0.656,0.909,0.266,0.06,0.59,0.191,1.196,0.443,0.932,0.073,0.294,0.17,0.096,0.395,0.054,0.703,0.959,0.703,0.423,1.016,0.486,0.371,0.108,0.038,0.38,0.222,0.122,0.038,0.252,0.03,0.1,0.301,0.118,0.293,0.299,0.758,0.137,0.423,0.104,0.241,0.006,0.02,0.011,0.034,0.003,0.004,0.003,0.017,0.006,0.004,0.005,0.01,0.032,0.004,0.012,0.01,0.013,0.02,0.001,0.0
0.008,0.02,0.021,0.008,0.011,0.009,0.008,0.011,0.01,0.028,0.008,0.016,0.011,0.008,0.003,0.039,0.002,0.093,0.476,0.434,0.595,0.161,0.539,0.712,0.131,0.291,0.269,0.404,0.08,0.09,0.051,0.034,0.015,0.007,0.018,0.015,0.003,0.013,0.002,0.011,0.014,0.023,0.003,0.058,0.127,0.133,0.029,0.161,0.099,0.195,0.426,0.137,0.548,0.03,0.461,0.614,0.466,0.281,0.385,1.039,1.091,0.059,0.532,0.065,0.369,1.139,1.249,0.391,0.28,0.186,0.002,1.281,1.296,0.945,0.11,1.496,0.147,0.624,1.109,0.345,0.17,0.671,0.157,0.23,0.723,0.497,0.402,0.884,1.776,0.775,0.421,0.035,0.025,0.682,0.141,0.153,0.133,0.35,0.325,0.294,0.874,0.419,0.128,0.112,0.08,0.446,0.028,0.537,0.365,0.413,0.011,0.843,0.295,0.082,0.304,0.099,0.078,0.1,0.004,0.418,0.123,0.266,0.097,0.37,0.288,0.095,0.172,0.043,0.638,0.213,0.006,0.125,0.102,0.038,0.029,0.013,0.005,0.009,0.006,0.003,0.008,0.011,0.017,0.014,0.02,0.009,0.006,0.027,0.012,0.02
0.01,0.015,0.002,0.003,0.024,0.03,0.004,0.023,0.003,0.005,0.023,0.004,0.017,0.008,0.013,0.009,0.074,0.065,0.43,0.353,0.001,0.269,0.231,0.687,0.26,0.125,0.109,0.02,0.008,0.003,0.005,0.029,0.015,0.018,0.004,0.023,0.019,0.005,0.009,0.007,0.011,0.003,0.014,0.115,0.163,0.07,0.289,0.382,0.173,0.078,0.206,0.943,0.641,0.263,0.728,0.442,0.322,1.113,0.74,0.337,0.119,0.647,1.791,0.615,0.802,0.381,1.914,0.393,0.275,0.99,0.423,0.636,0.624,0.556,0.049,1.029,1.101,0.531,0.27,0.007,0.004,0.447,1.127,0.695,0.596,0.215,0.548,0.52,0.332,0.121,0.916,0.436,0.074,0.202,1.244,1.166,0.032,0.263,1.3,0.189,0.084,0.927,0.97,0.69,0.031,0.742,0.023,0.313,0.379,0.43,0.894,0.294,0.472,0.099,0.361,0.078,0.186,0.033,0.163,0.014,0.112,0.301,0.465,0.154,0.456,0.107,0.148,0.02,0.009,0.194,0.105,0.039,0.01,0.043,0.032,0.002,0.014,0.012,0.001,0.011,0.007,0.011,0.002,0.007,0.006,0.001,0.022,0.01,0.002,0.016
0.017,0.001,0.019,0.0,0.021,0.002,0.003,0.011,0.021,0.016,0.005,0.002,0.003,0.008,0.004,0.006,0.031,0.325,0.138,0.248,0.289,0.477,0.04,0.219,0.113,0.187,0.242,0.089,0.06,0.143,0.067,0.02,0.028,0.0,0.014,0.001,0.01,0.0,0.002,0.001,0.003,0.018,0.074,0.077,0.092,0.134,0.031,0.003,0.008,0.092,0.082,0.208,0.25,0.155,0.036,0.52,0.4,0.337,0.436,0.204,0.549,1.495,0.56,0.8,0.342,0.982,0.241,0.775,0.744,0.334,0.343,0.498,1.297,1.16,1.862,0.253,1.25,0.452,1.0,0.067,0.97,0.116,0.905,0.373,0.651,0.169,0.37,1.571,0.194,0.622,0.152,0.142,0.294,0.916,0.122,0.315,0.082,0.076,0.255,0.089,0.583,0.233,0.56,0.32,0.16,0.217,0.066,0.681,0.454,0.171,0.485,0.179,0.627,0.667,0.217,0.094,0.046,0.09,0.053,0.156,0.333,0.006,0.076,0.38,0.2,0.254,0.772,0.021,0.412,0.115,0.114,0.091,0.115,0.019,0.022,0.009,0.005,0.011,0.008,0.002,0.018,0.0,0.002,0.009,0.014,0.003,0.02,0.009,0.011,0.011
0.001,0.009,0.011,0.014,0.012,0.013,0.008,0.008,0.014,0.017,0.023,0.005,0.013,0.019,0.012,0.017,0.037,0.146,0.205,0.076,0.592,0.176,1.324,0.042,0.132,0.354,0.456,0.101,0.238,0.105,0.031,0.064,0.016,0.009,0.01,0.008,0.007,0.006,0.009,0.013,0.003,0.001,0.106,0.049,0.083,0.278,0.053,0.015,0.724,0.923,0.278,0.389,0.304,0.957,1.265,0.049,0.919,0.679,0.045,0.821,0.451,0.554,0.896,0.606,1.441,0.086,0.054,0.503,0.789,0.805,0.954,0.62,1.081,0.8,1.315,0.127,0.364,0.821,0.452,0.543,0.765,0.179,0.334,0.693,0.167,0.612,1.599,1.545,0.966,0.951,0.846,0.964,2.033,0.218,0.439,0.623,0.879,0.642,0.639,0.174,0.049,0.252,0.152,0.34,0.301,0.241,0.18,1.08,0.4,0.007,0.289,0.447,0.196,0.285,0.252,0.007,0.056,0.085,0.072,0.285,0.358,0.07,0.27,0.838,0.014,0.16,0.413,0.65,0.108,0.115,0.111,0.021,0.155,0.047,0.0,0.006,0.016,0.004,0.026,0.008,0.004,0.004,0.002,0.01,0.003,0.0,0.009,0.012,0.015,0.003
0.003,0.003,0.005,0.027,0.011,0.01,0.005,0.004,0.023,0.004,0.009,0.002,0.007,0.006,0.033,0.031,0.001,0.091,0.124,0.372,0.703,0.549,0.094,0.509,0.021,0.293,0.099,0.192,0.336,0.01,0.061,0.033,0.028,0.017,0.01,0.007,0.005,0.006,0.003,0.01,0.01,0.03,0.105,0.178,0.001,0.092,0.003,0.134,0.075,0.264,0.46,1.151,0.618,0.43,0.248,0.38,0.702,1.762,1.034,1.529,1.539,0.811,0.743,0.274,1.643,0.807,0.308,0.427,1.307,0.143,1.632,1.993,0.301,0.866,0.637,0.054,1.402,1.139,1.042,1.382,0.007,0.362,0.053,0.846,0.454,0.08,0.858,0.277,0.915,0.498,0.196,0.402,0.781,0.155,0.121,0.193,0.476,0.618,1.25,0.473,0.814,0.594,0.504,0.293,0.024,0.827,0.167,0.396,0.452,0.56,0.156,0.222,0.287,0.329,0.125,0.275,0.041,0.006,0.057,0.066,0.07,0.046,0.172,0.311,0.935,0.251,0.115,0.527,0.47,0.187,0.065,0.157,0.048,0.035,0.036,0.018,0.001,0.001,0.019,0.011,0.015,0.009,0.003,0.016,0.015,0.008,0.008,0.01,0.013,0.013
0.02,0.011,0.0,0.002,0.005,0.004,0.016,0.01,0.016,0.009,0.017,0.002,0.006,0.008,0.005,0.011,0.047,0.135,0.081,0.03,0.815,0.802,0.225,0.443,0.206,0.269,0.159,0.194,0.091,0.114,0.064,0.084,0.01,0.004,0.002,0.007,0.002,0.001,0.003,0.007,0.012,0.037,0.013,0.001,0.06,0.024,0.155,0.318,0.698,0.37,0.492,0.461,0.205,0.049,1.482,0.363,0.297,0.205,0.096,0.815,0.703,0.281,1.535,1.554,1.765,0.837,0.519,0.989,0.215,0.147,0.257,0.312,0.393,1.465,1.685,0.46,0.287,0.437,1.28,0.19,0.048,0.01,0.483,0.652,0.388,0.864,0.998,0.232,0.266,0.698,0.443,1.1,0.303,0.685,0.973,1.453,0.515,0.887,1.233,0.509,0.069,0.89,0.121,0.179,0.387,0.581,0.012,0.699,0.829,0.471,0.177,0.494,0.366,0.084,0.141,0.013,0.042,0.203,0.101,0.054,0.106,0.184,0.543,0.034,0.016,0.522,0.122,0.028,0.041,0.237,0.036,0.058,0.041,0.029,0.006,0.017,0.009,0.013,0.003,0.002,0.011,0.002,0.01,0.022,0.004,0.007,0.006,0.005,0.028,0.027
0.01,0.017,0.003,0.009,0.012,0.007,0.02,0.005,0.015,0.005,0.014,0.017,0.002,0.008,0.02,0.027,0.009,0.055,0.112,0.514,0.143,0.157,0.11,0.055,0.219,0.178,0.62,0.219,0.124,0.066,0.011,0.001,0.027,0.01,0.006,0.001,0.03,0.006,0.014,0.013,0.014,0.02,0.072,0.008,0.073,0.074,0.183,0.355,0.025,0.121,0.331,0.341,0.37,0.128,0.544,0.516,0.59,0.071,2.108,0.151,1.233,0.222,0.78,0.826,1.532,0.063,0.685,0.987,1.859,0.992,0.888,1.138,0.888,0.246,0.171,0.549,1.663,0.005,0.564,0.798,0.176,0.991,1.594,2.019,1.291,0.395,0.448,0.507,0.18,0.191,0.575,0.04,1.179,0.5,0.219,0.404,0.488,0.012,0.128,0.575,0.362,0.354,0.021,0.661,0.094,0.308,0.129,0.193,0.254,0.472,0.257,0.916,0.007,0.53,0.376,0.031,0.12,0.005,0.022,0.315,0.011,0.297,0.234,0.322,0.649,0.13,0.57,0.277,0.267,0.098,0.134,0.149,0.02,0.026,0.006,0.004,0.012,0.005,0.006,0.01,0.009,0.012,0.009,0.004,0.003,0.007,0.008,0.011,0.019,0.014
0.018,0.014,0.021,0.013,0.007,0.008,0.012,0.008,0.005,0.034,0.016,0.012,0.011,0.016,0.032,0.007,0.086,0.037,0.216,0.44,0.247,0.252,0.019,0.286,1.057,0.455,0.241,0.063,0.034,0.069,0.016,0.004,0.015,0.0,0.026,0.006,0.025,0.007,0.012,0.013,0.011,0.0,0.025,0.111,0.043,0.346,0.029,0.194,0.023,0.024,0.263,0.679,0.252,0.007,0.287,0.283,0.86,0.357,0.616,0.73,1.681,1.22,0.761,1.047,1.531,0.078,1.693,0.921,1.075,1.036,0.092,0.318,1.015,0.327,0.799,0.31,0.234,0.691,0.474,1.366,0.212,1.39,0.3,1.153,2.322,1.219,0.993,0.725,0.228,0.698,0.355,1.062,0.878,0.844,0.119,0.319,0.115,0.673,1.557,0.904,1.369,0.227,0.418,0.485,0.6,0.388,0.926,0.122,0.08,0.341,0.548,0.12,0.306,0.161,0.557,0.208,0.063,0.144,0.012,0.34,0.215,0.103,0.194,0.409,0.208,0.153,0.605,0.023,0.099,0.129,0.219,0.047,0.136,0.004,0.024,0.001,0.01,0.029,0.014,0.013,0.008,0.009,0.018,0.008,0.008,0.014,0.01,0.011,0.005,0.017
