@RELATION SyntheticControl

@ATTRIBUTE att1_err NUMERIC
@ATTRIBUTE att2_err NUMERIC
@ATTRIBUTE att3_err NUMERIC
@ATTRIBUTE att4_err NUMERIC
@ATTRIBUTE att5_err NUMERIC
@ATTRIBUTE att6_err NUMERIC
@ATTRIBUTE att7_err NUMERIC
@ATTRIBUTE att8_err NUMERIC
@ATTRIBUTE att9_err NUMERIC
@ATTRIBUTE att10_err NUMERIC
@ATTRIBUTE att11_err NUMERIC
@ATTRIBUTE att12_err NUMERIC
@ATTRIBUTE att13_err NUMERIC
@ATTRIBUTE att14_err NUMERIC
@ATTRIBUTE att15_err NUMERIC
@ATTRIBUTE att16_err NUMERIC
@ATTRIBUTE att17_err NUMERIC
@ATTRIBUTE att18_err NUMERIC
@ATTRIBUTE att19_err NUMERIC
@ATTRIBUTE att20_err NUMERIC
@ATTRIBUTE att21_err NUMERIC
@ATTRIBUTE att22_err NUMERIC
@ATTRIBUTE att23_err NUMERIC
@ATTRIBUTE att24_err NUMERIC
@ATTRIBUTE att25_err NUMERIC
@ATTRIBUTE att26_err NUMERIC
@ATTRIBUTE att27_err NUMERIC
@ATTRIBUTE att28_err NUMERIC
@ATTRIBUTE att29_err NUMERIC
@ATTRIBUTE att30_err NUMERIC
@ATTRIBUTE att31_err NUMERIC
@ATTRIBUTE att32_err NUMERIC
@ATTRIBUTE att33_err NUMERIC
@ATTRIBUTE att34_err NUMERIC
@ATTRIBUTE att35_err NUMERIC
@ATTRIBUTE att36_err NUMERIC
@ATTRIBUTE att37_err NUMERIC
@ATTRIBUTE att38_err NUMERIC
@ATTRIBUTE att39_err NUMERIC
@ATTRIBUTE att40_err NUMERIC
@ATTRIBUTE att41_err NUMERIC
@ATTRIBUTE att42_err NUMERIC
@ATTRIBUTE att43_err NUMERIC
@ATTRIBUTE att44_err NUMERIC
@ATTRIBUTE att45_err NUMERIC
@ATTRIBUTE att46_err NUMERIC
@ATTRIBUTE att47_err NUMERIC
@ATTRIBUTE att48_err NUMERIC
@ATTRIBUTE att49_err NUMERIC
@ATTRIBUTE att50_err NUMERIC
@ATTRIBUTE att51_err NUMERIC
@ATTRIBUTE att52_err NUMERIC
@ATTRIBUTE att53_err NUMERIC
@ATTRIBUTE att54_err NUMERIC
@ATTRIBUTE att55_err NUMERIC
@ATTRIBUTE att56_err NUMERIC
@ATTRIBUTE att57_err NUMERIC
@ATTRIBUTE att58_err NUMERIC
@ATTRIBUTE att59_err NUMERIC
@ATTRIBUTE att60_err NUMERIC

@DATA
2.135,0.695,0.152,4.588,0.314,0.24,0.828,2.333,1.421,2.212,0.417,0.449,1.071,0.838,0.887,1.012,0.627,1.878,0.325,0.588,1.302,1.254,0.676,1.077,0.034,2.171,0.118,0.837,0.265,1.502,2.31,1.087,2.671,1.041,1.246,1.266,0.142,0.477,1.45,1.437,0.809,1.052,1.657,0.317,0.486,0.157,4.612,2.601,1.88,1.417,2.498,0.562,2.298,1.837,2.392,0.704,2.223,2.661,0.676,1.29
2.39,3.007,1.072,1.533,0.308,2.338,0.204,0.461,1.489,1.762,0.369,2.115,0.858,0.016,0.27,1.146,2.02,1.009,1.73,1.0,2.243,2.016,1.899,2.208,0.365,0.904,0.229,1.621,0.84,0.789,1.298,1.785,2.603,0.282,0.72,0.497,0.321,1.975,0.936,0.375,1.647,1.261,0.006,0.568,0.738,1.728,0.578,0.934,0.519,2.053,0.688,0.094,0.441,1.354,2.662,0.886,1.293,1.13,2.558,1.918
0.059,1.871,4.009,1.93,0.126,0.413,4.18,0.214,0.105,2.642,1.883,1.406,1.138,2.162,0.941,0.013,2.828,2.416,0.831,1.108,1.133,2.317,0.049,0.146,2.655,0.742,1.502,0.438,1.586,0.943,1.701,1.981,1.855,1.478,0.362,0.435,1.356,0.334,0.517,0.879,0.238,1.818,0.452,1.138,2.7,0.652,0.271,1.044,0.085,2.05,1.682,1.14,0.176,0.516,4.125,2.558,1.741,1.737,1.302,2.079
0.052,0.528,2.499,0.48,2.174,1.056,2.831,0.248,0.293,0.108,0.851,0.236,1.2,0.752,0.15,1.528,1.521,1.542,1.61,1.835,1.365,0.222,0.834,1.159,0.038,0.207,0.714,0.711,1.055,0.642,1.658,1.036,2.27,0.176,0.846,0.023,0.958,1.373,1.055,0.864,0.346,1.121,1.523,3.346,0.352,1.162,0.338,0.342,0.452,1.72,0.156,1.121,0.923,1.837,3.486,0.385,0.501,1.241,0.372,1.858
1.904,2.016,1.611,1.031,2.694,4.205,0.958,2.552,1.691,2.357,1.427,1.246,1.419,1.015,0.009,0.069,0.45,0.409,2.614,1.288,1.663,1.455,0.758,1.301,1.649,0.123,1.054,1.069,0.002,0.017,0.887,0.443,0.29,0.34,0.039,1.293,0.175,1.31,0.66,0.074,1.118,1.45,1.563,1.399,2.338,0.525,0.636,0.846,2.208,2.687,2.099,0.393,1.986,1.484,2.208,3.088,5.67,1.124,0.023,0.468
1.45,0.238,0.141,1.447,0.791,0.827,1.598,2.86,0.996,2.458,3.029,1.38,0.997,1.568,3.429,0.741,0.304,0.343,2.987,2.096,1.484,2.089,1.985,0.993,0.408,0.806,0.765,1.235,1.146,1.561,0.766,0.344,0.967,0.436,1.655,0.41,0.314,0.145,0.067,0.721,0.337,0.305,1.864,2.136,0.243,0.085,1.846,2.106,2.069,1.568,2.264,0.574,0.648,3.004,1.044,1.878,2.614,0.145,0.319,0.573
1.712,0.839,0.988,0.469,0.606,0.413,0.981,0.469,0.258,1.82,0.73,1.799,0.156,0.378,1.005,0.185,2.59,1.563,0.722,0.473,1.546,1.8,0.375,2.208,0.089,0.051,0.384,0.651,2.036,1.283,1.701,1.345,0.459,0.661,2.969,2.182,0.068,0.511,0.199,0.479,1.744,0.351,2.765,0.078,5.059,1.192,0.684,0.006,3.269,1.15,1.688,0.088,0.874,2.424,0.072,2.403,3.237,0.285,0.429,1.471
3.987,3.828,2.663,1.065,0.519,1.164,0.301,0.73,0.634,0.802,2.511,2.691,2.453,0.177,0.356,2.32,2.476,1.035,2.627,1.689,1.753,1.26,1.77,0.54,0.956,0.459,0.005,0.023,0.518,1.561,1.503,0.027,0.25,1.196,1.659,0.12,1.209,0.043,0.701,0.751,0.247,3.487,2.918,1.154,2.399,0.804,2.081,3.987,0.225,0.022,0.485,0.312,2.01,1.55,2.066,3.985,3.905,0.183,1.244,0.227
2.583,3.58,3.741,2.161,0.756,1.134,1.703,2.988,2.313,2.259,2.877,0.997,0.538,0.559,2.612,2.82,2.185,1.145,0.971,1.399,0.89,1.057,0.71,0.685,1.208,0.087,0.492,0.256,0.309,3.039,0.553,2.369,2.392,2.138,1.754,1.369,0.192,1.959,2.309,0.509,1.09,0.037,0.381,0.809,0.088,0.122,0.422,3.001,0.466,1.205,0.691,0.7,0.56,2.007,0.401,0.34,0.659,1.544,0.04,0.282
1.447,2.225,1.478,0.444,2.631,0.807,0.158,1.082,2.224,1.097,1.101,1.439,0.856,0.27,1.891,0.534,0.127,0.402,1.359,0.833,1.444,0.004,1.963,0.756,0.184,0.48,1.499,0.629,0.29,0.003,2.285,0.301,0.584,1.418,0.54,3.154,0.392,0.692,1.34,0.445,0.732,3.802,0.945,0.481,1.86,0.002,5.084,0.49,0.229,0.747,0.169,0.587,4.231,2.482,0.005,0.439,0.387,2.387,0.937,1.086
