@RELATION SyntheticControl

@ATTRIBUTE att1 NUMERIC
@ATTRIBUTE att2 NUMERIC
@ATTRIBUTE att3 NUMERIC
@ATTRIBUTE att4 NUMERIC
@ATTRIBUTE att5 NUMERIC
@ATTRIBUTE att6 NUMERIC
@ATTRIBUTE att7 NUMERIC
@ATTRIBUTE att8 NUMERIC
@ATTRIBUTE att9 NUMERIC
@ATTRIBUTE att10 NUMERIC
@ATTRIBUTE att11 NUMERIC
@ATTRIBUTE att12 NUMERIC
@ATTRIBUTE att13 NUMERIC
@ATTRIBUTE att14 NUMERIC
@ATTRIBUTE att15 NUMERIC
@ATTRIBUTE att16 NUMERIC
@ATTRIBUTE att17 NUMERIC
@ATTRIBUTE att18 NUMERIC
@ATTRIBUTE att19 NUMERIC
@ATTRIBUTE att20 NUMERIC
@ATTRIBUTE att21 NUMERIC
@ATTRIBUTE att22 NUMERIC
@ATTRIBUTE att23 NUMERIC
@ATTRIBUTE att24 NUMERIC
@ATTRIBUTE att25 NUMERIC
@ATTRIBUTE att26 NUMERIC
@ATTRIBUTE att27 NUMERIC
@ATTRIBUTE att28 NUMERIC
@ATTRIBUTE att29 NUMERIC
@ATTRIBUTE att30 NUMERIC
@ATTRIBUTE att31 NUMERIC
@ATTRIBUTE att32 NUMERIC
@ATTRIBUTE att33 NUMERIC
@ATTRIBUTE att34 NUMERIC
@ATTRIBUTE att35 NUMERIC
@ATTRIBUTE att36 NUMERIC
@ATTRIBUTE att37 NUMERIC
@ATTRIBUTE att38 NUMERIC
@ATTRIBUTE att39 NUMERIC
@ATTRIBUTE att40 NUMERIC
@ATTRIBUTE att41 NUMERIC
@ATTRIBUTE att42 NUMERIC
@ATTRIBUTE att43 NUMERIC
@ATTRIBUTE att44 NUMERIC
@ATTRIBUTE att45 NUMERIC
@ATTRIBUTE att46 NUMERIC
@ATTRIBUTE att47 NUMERIC
@ATTRIBUTE att48 NUMERIC
@ATTRIBUTE att49 NUMERIC
@ATTRIBUTE att50 NUMERIC
@ATTRIBUTE att51 NUMERIC
@ATTRIBUTE att52 NUMERIC
@ATTRIBUTE att53 NUMERIC
@ATTRIBUTE att54 NUMERIC
@ATTRIBUTE att55 NUMERIC
@ATTRIBUTE att56 NUMERIC
@ATTRIBUTE att57 NUMERIC
@ATTRIBUTE att58 NUMERIC
@ATTRIBUTE att59 NUMERIC
@ATTRIBUTE att60 NUMERIC
@ATTRIBUTE target {1.0, 2.0, 3.0, 4.0, 5.0, 6.0}

@DATA
0.654,0.913,0.322,0.556,-0.456,0.675,-0.398,-0.107,3.045,-4.375,0.746,-0.54,1.276,0.676,0.104,-1.521,0.856,0.928,-0.266,-1.377,-2.42,-0.847,1.758,0.004,0.775,-0.232,-0.329,-0.191,-1.614,-0.705,0.896,-0.798,8.692,-0.19,-0.688,-0.981,-1.056,1.096,1.15,-1.922,1.5,-2.717,-0.291,0.686,0.296,1.106,-7.213,-0.382,-0.153,-2.509,3.281,-2.608,0.212,-0.347,1.23,1.402,-1.463,2.537,-1.892,-1.805,1.0
-3.958,1.95,-0.932,-0.349,-0.269,3.219,-0.912,1.539,-0.934,-0.704,0.27,-1.092,-3.306,-0.797,-1.509,1.168,0.444,-0.115,-0.044,0.06,-0.95,-0.454,-1.39,0.102,-1.743,-0.157,0.571,-3.121,0.696,-1.224,0.405,-4.411,3.222,-0.876,1.344,-0.834,-0.549,-3.725,0.843,1.489,0.056,1.101,-0.879,-1.322,0.326,-0.321,0.297,2.376,1.364,0.353,2.086,-0.818,-0.523,2.537,-2.745,-0.959,2.246,0.374,-1.032,-1.195,1.0
-0.934,-0.216,3.312,-0.05,-1.886,-0.812,5.254,1.482,-1.858,4.362,-2.312,-3.432,0.558,1.67,-2.377,-0.32,1.423,-1.43,-0.147,-2.545,-0.555,2.545,1.489,0.553,-1.925,1.299,-1.817,0.73,1.129,0.199,0.835,1.239,2.618,1.632,0.811,0.941,-3.701,0.961,0.973,0.999,-0.191,-1.24,0.197,0.03,4.179,-1.856,-0.174,-0.722,0.507,0.624,-4.82,1.502,1.211,-0.955,1.091,-3.061,1.897,2.032,-0.683,0.437,1.0
-0.214,-0.966,-1.223,1.847,0.012,-0.702,-0.401,1.145,-0.628,-1.567,0.498,1.474,-1.165,-0.155,0.775,-0.484,1.935,-1.941,-0.213,0.58,0.179,-0.885,-0.549,-1.529,-0.09,0.202,-0.968,-0.328,1.279,-0.679,-2.533,2.164,4.396,0.719,-0.619,-0.054,-1.74,-1.014,2.081,-0.859,0.104,2.676,1.59,-5.274,0.552,1.327,-1.396,1.081,-0.495,-3.454,-0.323,-2.179,0.13,-0.293,3.108,-0.304,2.973,-3.212,0.072,-0.055,1.0
0.512,-0.03,3.5,1.681,-1.818,6.703,1.064,1.189,-0.604,-1.019,-3.173,1.141,-0.8,2.538,-0.598,-1.172,0.492,2.018,0.482,-1.958,3.489,-3.164,-0.789,0.979,1.052,-0.152,-0.415,-2.326,0.529,0.036,1.177,1.216,-0.854,-1.816,-1.214,-0.277,-1.618,-0.999,-1.195,0.565,0.45,0.171,-1.879,0.165,0.413,-0.423,1.716,-1.216,0.26,1.472,2.609,0.828,-0.018,-2.049,0.058,2.995,-4.425,0.467,0.132,1.005,1.0
2.538,1.992,0.4,-1.495,-2.265,-0.834,-3.46,1.274,-1.437,-0.639,3.643,0.996,-1.005,2.944,-1.725,0.32,-1.975,0.737,0.813,0.058,0.868,-3.825,-1.949,-0.629,-0.518,1.432,-2.39,2.837,1.492,-0.127,-1.635,0.574,0.266,-0.53,-0.698,0.541,-0.783,0.536,1.036,-1.831,-0.669,0.537,-2.497,1.288,-0.488,-1.023,2.038,0.175,2.787,-5.306,-0.878,-1.28,0.179,-1.11,1.099,1.474,3.057,-0.534,-0.357,0.774,1.0
0.106,0.136,-0.352,-0.797,-1.963,0.723,-1.053,0.418,-0.907,0.136,1.873,1.067,0.496,0.395,-1.321,-1.107,2.743,1.906,-0.927,0.989,-0.353,3.313,-0.266,0.259,0.792,1.046,0.384,-0.657,-1.176,-0.935,-0.106,0.4,-1.202,0.064,1.062,-1.61,1.509,1.994,0.742,-0.354,-1.113,0.416,2.881,0.334,-8.924,0.231,-1.327,-1.408,-3.542,-0.604,2.66,0.055,1.684,3.756,-1.71,-2.495,-3.26,-1.077,0.481,2.108,1.0
-4.236,-3.336,-0.387,-0.411,0.423,-1.154,0.052,-1.564,-1.562,1.012,-2.07,2.381,0.439,1.087,1.215,2.059,5.674,-1.216,-1.135,0.452,0.996,-0.313,1.439,-0.31,2.065,-0.391,0.18,-1.182,0.921,-0.694,-1.876,-0.43,-0.744,0.639,-2.814,0.327,-1.587,0.444,-1.109,-2.537,-0.297,-1.999,-0.179,2.387,0.803,2.091,-1.2,7.07,-1.181,-1.203,0.915,-0.836,0.3,0.009,-1.999,5.46,3.714,0.691,0.394,-1.14,1.0
1.475,-3.494,-4.674,-1.769,1.572,-1.355,-0.887,4.598,-1.35,2.592,-2.934,1.98,-1.508,-0.428,1.657,0.862,0.368,-0.428,1.979,-1.814,-0.664,0.82,-1.369,-0.493,0.388,-0.887,0.657,0.797,0.432,-2.04,-0.05,3.807,-1.743,7.405,2.466,0.569,-1.217,-0.413,-1.909,0.393,-0.401,1.593,-1.537,1.225,0.813,1.623,-0.461,0.325,-1.68,-1.107,-0.924,0.472,-1.336,4.586,-0.025,0.931,-2.627,0.245,0.067,1.31,1.0
-1.472,-0.356,-0.368,-0.409,-3.294,0.246,-1.451,0.905,5.255,-0.115,2.514,1.497,-0.521,0.202,0.776,-0.153,1.822,1.766,1.3,-1.25,-0.27,-1.466,1.007,-0.299,-0.516,0.111,-2.247,0.726,-0.511,-0.795,1.66,0.126,-1.418,1.737,1.517,4.497,0.126,0.698,-0.939,-1.249,-0.407,0.22,-0.785,0.412,-2.024,1.934,-0.404,-1.696,0.577,0.627,-0.848,-2.375,7.042,0.794,0.453,0.719,-0.069,-0.811,1.675,-1.522,1.0
