@RELATION CBF

@ATTRIBUTE att1_err NUMERIC
@ATTRIBUTE att2_err NUMERIC
@ATTRIBUTE att3_err NUMERIC
@ATTRIBUTE att4_err NUMERIC
@ATTRIBUTE att5_err NUMERIC
@ATTRIBUTE att6_err NUMERIC
@ATTRIBUTE att7_err NUMERIC
@ATTRIBUTE att8_err NUMERIC
@ATTRIBUTE att9_err NUMERIC
@ATTRIBUTE att10_err NUMERIC
@ATTRIBUTE att11_err NUMERIC
@ATTRIBUTE att12_err NUMERIC
@ATTRIBUTE att13_err NUMERIC
@ATTRIBUTE att14_err NUMERIC
@ATTRIBUTE att15_err NUMERIC
@ATTRIBUTE att16_err NUMERIC
@ATTRIBUTE att17_err NUMERIC
@ATTRIBUTE att18_err NUMERIC
@ATTRIBUTE att19_err NUMERIC
@ATTRIBUTE att20_err NUMERIC
@ATTRIBUTE att21_err NUMERIC
@ATTRIBUTE att22_err NUMERIC
@ATTRIBUTE att23_err NUMERIC
@ATTRIBUTE att24_err NUMERIC
@ATTRIBUTE att25_err NUMERIC
@ATTRIBUTE att26_err NUMERIC
@ATTRIBUTE att27_err NUMERIC
@ATTRIBUTE att28_err NUMERIC
@ATTRIBUTE att29_err NUMERIC
@ATTRIBUTE att30_err NUMERIC
@ATTRIBUTE att31_err NUMERIC
@ATTRIBUTE att32_err NUMERIC
@ATTRIBUTE att33_err NUMERIC
@ATTRIBUTE att34_err NUMERIC
@ATTRIBUTE att35_err NUMERIC
@ATTRIBUTE att36_err NUMERIC
@ATTRIBUTE att37_err NUMERIC
@ATTRIBUTE att38_err NUMERIC
@ATTRIBUTE att39_err NUMERIC
@ATTRIBUTE att40_err NUMERIC
@ATTRIBUTE att41_err NUMERIC
@ATTRIBUTE att42_err NUMERIC
@ATTRIBUTE att43_err NUMERIC
@ATTRIBUTE att44_err NUMERIC
@ATTRIBUTE att45_err NUMERIC
@ATTRIBUTE att46_err NUMERIC
@ATTRIBUTE att47_err NUMERIC
@ATTRIBUTE att48_err NUMERIC
@ATTRIBUTE att49_err NUMERIC
@ATTRIBUTE att50_err NUMERIC
@ATTRIBUTE att51_err NUMERIC
@ATTRIBUTE att52_err NUMERIC
@ATTRIBUTE att53_err NUMERIC
@ATTRIBUTE att54_err NUMERIC
@ATTRIBUTE att55_err NUMERIC
@ATTRIBUTE att56_err NUMERIC
@ATTRIBUTE att57_err NUMERIC
@ATTRIBUTE att58_err NUMERIC
@ATTRIBUTE att59_err NUMERIC
@ATTRIBUTE att60_err NUMERIC
@ATTRIBUTE att61_err NUMERIC
@ATTRIBUTE att62_err NUMERIC
@ATTRIBUTE att63_err NUMERIC
@ATTRIBUTE att64_err NUMERIC
@ATTRIBUTE att65_err NUMERIC
@ATTRIBUTE att66_err NUMERIC
@ATTRIBUTE att67_err NUMERIC
@ATTRIBUTE att68_err NUMERIC
@ATTRIBUTE att69_err NUMERIC
@ATTRIBUTE att70_err NUMERIC
@ATTRIBUTE att71_err NUMERIC
@ATTRIBUTE att72_err NUMERIC
@ATTRIBUTE att73_err NUMERIC
@ATTRIBUTE att74_err NUMERIC
@ATTRIBUTE att75_err NUMERIC
@ATTRIBUTE att76_err NUMERIC
@ATTRIBUTE att77_err NUMERIC
@ATTRIBUTE att78_err NUMERIC
@ATTRIBUTE att79_err NUMERIC
@ATTRIBUTE att80_err NUMERIC
@ATTRIBUTE att81_err NUMERIC
@ATTRIBUTE att82_err NUMERIC
@ATTRIBUTE att83_err NUMERIC
@ATTRIBUTE att84_err NUMERIC
@ATTRIBUTE att85_err NUMERIC
@ATTRIBUTE att86_err NUMERIC
@ATTRIBUTE att87_err NUMERIC
@ATTRIBUTE att88_err NUMERIC
@ATTRIBUTE att89_err NUMERIC
@ATTRIBUTE att90_err NUMERIC
@ATTRIBUTE att91_err NUMERIC
@ATTRIBUTE att92_err NUMERIC
@ATTRIBUTE att93_err NUMERIC
@ATTRIBUTE att94_err NUMERIC
@ATTRIBUTE att95_err NUMERIC
@ATTRIBUTE att96_err NUMERIC
@ATTRIBUTE att97_err NUMERIC
@ATTRIBUTE att98_err NUMERIC
@ATTRIBUTE att99_err NUMERIC
@ATTRIBUTE att100_err NUMERIC
@ATTRIBUTE att101_err NUMERIC
@ATTRIBUTE att102_err NUMERIC
@ATTRIBUTE att103_err NUMERIC
@ATTRIBUTE att104_err NUMERIC
@ATTRIBUTE att105_err NUMERIC
@ATTRIBUTE att106_err NUMERIC
@ATTRIBUTE att107_err NUMERIC
@ATTRIBUTE att108_err NUMERIC
@ATTRIBUTE att109_err NUMERIC
@ATTRIBUTE att110_err NUMERIC
@ATTRIBUTE att111_err NUMERIC
@ATTRIBUTE att112_err NUMERIC
@ATTRIBUTE att113_err NUMERIC
@ATTRIBUTE att114_err NUMERIC
@ATTRIBUTE att115_err NUMERIC
@ATTRIBUTE att116_err NUMERIC
@ATTRIBUTE att117_err NUMERIC
@ATTRIBUTE att118_err NUMERIC
@ATTRIBUTE att119_err NUMERIC
@ATTRIBUTE att120_err NUMERIC
@ATTRIBUTE att121_err NUMERIC
@ATTRIBUTE att122_err NUMERIC
@ATTRIBUTE att123_err NUMERIC
@ATTRIBUTE att124_err NUMERIC
@ATTRIBUTE att125_err NUMERIC
@ATTRIBUTE att126_err NUMERIC
@ATTRIBUTE att127_err NUMERIC
@ATTRIBUTE att128_err NUMERIC

@DATA
0.014,0.13,0.566,0.029,0.249,0.245,0.462,0.189,0.111,0.401,0.866,0.208,0.097,0.046,0.535,0.195,0.071,0.406,0.186,0.266,1.018,0.357,1.808,0.456,0.247,0.089,1.043,0.771,0.465,0.081,0.518,1.65,1.16,0.21,0.511,0.238,0.505,0.14,0.15,0.804,0.029,0.051,0.199,0.393,0.049,0.48,0.063,0.195,0.255,0.451,0.254,0.019,0.109,0.71,0.08,0.515,0.652,0.063,0.144,0.104,0.639,0.071,0.24,0.979,0.619,0.61,0.143,0.566,0.342,0.315,0.596,0.439,0.237,0.893,0.546,0.433,0.623,0.217,0.924,0.447,0.988,0.767,0.402,0.398,0.22,0.359,0.276,0.219,0.791,0.359,0.478,0.28,0.838,1.389,0.478,0.204,0.316,0.106,0.707,0.954,0.145,0.222,0.203,1.383,0.045,0.404,0.388,0.504,0.435,0.432,0.205,1.334,0.06,0.072,0.626,0.601,0.097,0.705,0.046,1.122,0.193,0.147,0.026,0.199,0.913,0.337,0.075,0.117
0.083,0.147,0.041,0.535,0.776,0.014,0.443,0.201,0.053,0.287,0.37,0.46,0.331,0.473,0.218,0.523,0.109,0.456,0.056,0.219,0.113,0.42,0.713,0.584,0.707,0.223,0.464,0.435,0.666,0.296,0.087,0.168,0.007,0.139,0.167,0.829,0.11,0.261,0.02,0.143,0.035,0.633,0.304,1.102,0.201,0.113,0.083,0.871,0.469,0.067,0.22,0.154,0.069,0.401,0.454,0.51,0.329,0.353,0.298,1.109,0.045,0.424,0.724,0.904,0.746,0.629,0.147,0.042,0.037,0.088,0.35,0.319,0.394,0.447,0.005,0.225,0.118,0.192,0.207,0.383,0.856,0.253,0.482,0.878,0.417,0.061,0.2,0.068,0.222,0.134,0.079,0.402,0.227,0.27,0.154,0.385,0.479,0.041,0.683,1.188,0.087,0.343,0.527,0.487,0.441,0.221,0.024,0.289,0.201,0.323,0.273,0.016,0.765,0.176,0.509,0.856,0.12,0.405,1.239,0.19,0.525,0.369,0.285,0.848,0.458,0.194,0.83,0.223
0.745,0.514,0.057,0.098,0.043,0.375,0.174,0.042,0.089,0.028,0.378,0.251,0.201,0.23,0.425,0.438,0.335,0.445,0.572,0.578,0.949,1.079,1.112,0.54,0.474,1.124,0.194,1.002,0.734,0.685,0.235,0.305,0.119,0.196,0.532,0.488,0.276,0.39,0.711,0.545,0.166,0.196,0.918,0.639,0.007,0.159,0.547,0.057,0.113,0.267,0.655,0.064,0.059,0.536,0.351,0.201,0.103,0.253,0.502,0.219,0.244,0.295,0.658,0.651,0.823,0.565,0.061,0.491,0.381,0.836,0.046,0.727,0.097,0.436,0.202,0.171,0.99,0.253,0.839,0.342,0.201,0.05,0.824,0.004,0.088,1.131,0.472,0.49,1.169,0.259,0.461,0.187,1.115,0.391,0.453,0.56,0.345,0.584,0.742,0.166,0.116,0.202,0.096,0.085,0.619,0.72,0.271,0.132,0.0,0.132,0.419,0.424,0.118,0.069,0.391,0.539,0.479,0.641,0.589,0.257,0.125,0.356,0.202,0.699,0.248,0.414,0.037,0.001
0.037,0.495,0.145,0.207,0.156,0.188,0.243,0.172,0.126,0.068,0.252,0.176,0.007,0.116,0.056,0.618,0.164,0.191,0.099,0.064,0.591,0.241,0.42,0.383,0.314,0.4,0.467,0.075,0.041,0.623,0.114,0.225,0.005,0.577,0.844,0.495,0.276,0.715,0.254,0.339,0.589,0.127,0.543,0.472,0.949,0.097,0.452,0.106,0.283,0.311,0.119,0.086,0.146,0.408,0.431,0.258,0.055,0.645,0.254,0.347,0.536,0.321,0.193,0.896,0.112,0.559,0.019,0.655,0.234,0.427,0.196,0.215,0.103,0.73,0.064,0.503,0.103,0.113,0.505,0.726,0.649,0.196,0.02,0.913,0.841,0.198,0.828,0.021,0.583,0.361,0.426,0.253,0.026,0.371,0.107,0.214,0.338,0.201,0.028,0.483,0.482,0.643,0.257,0.064,0.068,0.28,0.192,0.43,0.878,0.227,1.095,0.093,0.02,0.971,0.063,0.309,0.987,0.736,0.111,0.332,0.363,0.41,0.209,0.286,0.292,0.077,0.564,0.411
0.119,0.294,0.423,0.15,0.791,0.515,0.376,0.124,0.484,0.249,0.01,0.203,0.14,0.61,0.18,0.263,0.357,0.255,0.177,1.414,0.192,0.204,0.329,0.108,0.694,1.123,0.199,1.143,0.387,0.673,0.508,0.328,0.013,1.131,0.551,0.474,0.046,1.641,0.046,1.315,0.656,0.062,1.109,0.587,0.268,0.267,0.733,0.224,0.566,0.155,0.074,0.281,0.019,0.142,0.081,0.383,0.089,0.019,0.176,0.213,0.553,0.239,0.297,1.105,0.894,0.222,0.706,0.653,0.367,0.291,0.105,0.305,0.764,0.291,0.781,0.457,0.627,0.233,0.718,0.049,0.129,0.14,0.021,0.052,0.452,0.795,0.14,0.513,0.403,0.012,0.056,0.093,0.181,0.728,0.765,0.526,0.176,0.181,0.57,0.381,0.371,0.994,0.02,0.22,0.744,1.045,0.328,0.081,0.19,0.428,0.56,0.072,0.437,0.254,0.888,0.434,0.562,0.083,0.164,0.72,0.222,0.154,0.773,0.503,1.097,0.144,0.264,0.04
0.032,0.572,0.35,0.052,0.515,0.059,0.357,0.172,0.136,0.012,0.69,0.365,0.141,0.177,0.096,0.156,0.363,0.172,0.487,0.139,0.992,1.127,1.066,0.993,0.133,1.071,1.255,0.463,1.456,1.552,0.963,0.624,0.398,0.889,0.174,0.218,0.844,0.339,0.505,0.284,0.468,0.954,0.416,0.209,0.003,0.049,0.314,0.316,0.567,0.017,0.116,0.419,0.917,0.085,0.001,0.294,0.16,0.407,0.413,0.107,0.267,0.295,0.755,0.195,0.759,0.378,0.291,0.713,0.145,0.321,0.004,0.394,0.622,0.091,0.927,0.356,1.092,0.096,0.079,0.011,1.13,0.186,0.199,0.709,0.29,0.081,0.265,0.418,0.356,0.246,0.496,0.637,0.717,0.753,0.074,0.896,0.261,0.059,0.185,0.295,1.08,0.365,0.59,0.34,0.067,0.388,0.06,0.126,0.61,0.155,0.451,0.037,0.556,0.735,0.252,0.356,1.076,0.253,0.532,0.061,0.134,1.018,0.06,0.168,0.315,0.242,0.538,0.184
0.631,0.017,0.345,0.249,0.735,0.122,0.448,0.242,0.071,0.273,0.239,0.184,0.452,0.436,0.622,0.387,0.172,0.248,0.27,0.67,0.498,0.736,0.318,0.413,0.554,0.362,0.454,1.554,0.59,0.586,1.025,0.586,0.534,0.254,0.028,0.192,0.524,0.048,0.534,0.267,0.625,0.016,0.068,0.778,0.454,0.448,0.019,0.036,0.194,0.02,0.253,0.067,0.224,0.29,0.05,0.725,0.281,0.073,0.366,0.116,0.681,0.292,0.116,0.102,0.759,0.292,0.646,0.866,0.166,0.061,0.785,0.163,0.367,0.448,0.581,0.473,0.258,0.219,0.345,0.42,0.142,0.16,0.744,1.323,1.883,0.678,0.098,0.263,0.564,0.569,0.474,0.083,0.358,0.091,0.498,0.163,0.272,1.234,0.745,0.085,0.557,0.516,0.296,0.995,0.716,0.638,0.645,0.309,0.428,0.092,1.485,0.102,0.638,0.511,0.465,0.686,0.221,0.328,0.371,0.261,0.494,0.22,0.232,0.08,0.187,0.549,0.321,0.233
0.101,0.028,0.183,0.478,0.393,0.476,0.156,0.155,0.174,0.257,0.09,0.048,0.265,0.217,0.101,0.005,0.381,0.42,0.623,0.7,0.48,0.506,1.081,0.918,0.954,0.246,0.387,0.215,0.63,0.117,0.856,1.025,0.655,0.369,0.058,0.14,0.111,0.726,0.315,0.847,1.094,0.532,0.257,0.43,0.362,0.041,0.581,0.416,0.252,0.454,0.136,0.153,0.106,0.504,0.078,0.15,0.068,0.536,0.341,0.114,0.305,0.167,0.477,0.274,0.019,0.244,0.063,0.143,0.636,0.224,0.077,0.066,0.535,0.855,0.184,0.642,0.43,0.042,0.295,0.815,0.256,0.165,0.252,0.194,0.861,0.027,0.773,0.551,0.164,0.802,0.22,0.258,0.024,0.354,0.832,0.268,1.081,0.357,0.65,0.064,0.195,0.484,0.388,0.44,1.114,0.308,0.493,0.389,0.072,0.899,0.471,0.327,0.44,0.536,0.701,0.323,0.662,0.229,0.305,0.176,0.274,0.528,0.659,0.231,0.188,0.367,0.001,0.468
0.16,0.138,0.458,0.244,0.19,0.049,0.244,0.415,0.166,0.286,0.414,0.073,0.373,0.139,0.046,0.54,0.097,0.376,0.115,0.491,0.319,0.565,0.551,1.178,0.29,0.795,0.145,0.84,0.15,0.067,0.225,0.92,1.434,0.709,0.796,0.799,0.181,0.517,0.584,0.044,0.284,0.643,0.558,0.24,0.363,0.238,0.757,0.316,0.184,0.04,0.001,0.572,0.269,0.3,0.447,0.668,0.266,0.854,0.043,0.277,0.407,0.129,0.046,0.146,0.573,0.725,0.056,0.66,0.212,0.074,0.047,0.013,0.156,0.153,0.169,0.515,0.789,0.014,0.167,0.021,0.618,0.405,0.793,0.748,0.118,0.845,0.407,0.538,0.282,0.266,0.796,0.091,0.093,0.698,0.122,0.875,0.245,0.251,0.109,1.018,0.185,0.186,0.233,0.77,0.022,0.104,0.757,0.432,0.373,0.078,0.058,0.614,0.126,0.418,0.308,0.075,0.251,0.327,0.049,0.303,0.311,0.405,0.626,0.258,0.347,0.733,0.041,0.572
0.486,0.021,0.205,0.068,0.495,0.157,0.346,0.468,0.477,0.521,0.221,0.363,0.24,0.078,0.119,0.066,0.678,0.36,0.448,0.374,0.013,0.57,0.189,0.072,0.708,1.352,0.648,0.328,0.7,1.219,0.613,0.67,0.307,1.067,0.314,0.051,0.485,1.387,0.537,0.414,0.15,0.368,0.474,0.506,0.908,0.314,0.297,0.618,0.268,0.909,0.295,0.544,0.034,0.659,0.005,0.07,0.031,0.102,0.707,0.038,0.446,0.116,0.172,0.213,0.33,0.948,0.587,0.108,0.354,0.001,0.536,0.594,0.214,0.57,0.364,0.03,0.02,0.513,0.751,0.147,0.475,0.014,0.318,0.422,0.285,0.158,0.003,0.51,0.336,0.281,0.617,0.068,0.181,0.275,0.966,0.123,0.568,0.595,0.205,0.202,0.57,0.804,0.423,0.179,0.248,0.067,1.045,0.185,0.262,0.089,0.558,0.427,0.182,0.378,0.226,0.401,0.493,0.273,0.044,0.199,0.195,0.582,0.374,0.222,0.43,0.051,0.115,0.356
